mean	sigma
0.06576143009496037	0.1270488674236124
0.40373355313387277	0.7252891585405067
0.253111249011411	0.07519792817746364
0.11200277161148234	0.06125126350827443
0.24476048250079713	0.49848682942489303
0.8755796701958721	0.038664900997774754
0.23920843554937607	0.18324088389821214
0.2395119682439324	0.4984876858714688
0.8172353491173021	0.28824607126124113
0.22084142731807951	0.24858036167068012
0.6965413890624679	1.0126267559873863
0.6409848895078755	0.15313887108080923
0.6562159968676222	0.4294666564253523
0.6349543976975316	0.42947732712957887
0.3242395346951752	0.41953576331608206
1.110411354420522	0.11852829021410329
0.02232557922158114	0.10254932207954713
0.18199275130271267	0.09839849846358267
0.048424603981908614	0.10580429419555856
0.5647707093148606	0.6008806898644612
0.20377007028015326	0.2510030863563968
0.7584492072932727	0.2882486065006969
1.1763418513138717	0.043130927420209804
0.6269280968102613	0.1704457889402611
0.10826675497683899	0.09253915453901546
0.05193792183374944	0.08726320197289496
0.4217152780080915	0.3308250218615036
0.1056892736236349	0.05261944329877173
0.9492661660553166	0.36858952055130695
0.1874638698649994	0.2510063062647277
0.4521492782377856	0.6316288107376957
0.08498484201064517	0.052619125398486004
0.49535814722323623	0.13134492796274128
0.9545201450527933	0.4023277103945228
0.14046835446118672	0.3486007794656331
1.1884946348898324	0.04287786227215137
0.25674316217796067	0.09840585882679652
0.42385877697541846	0.1352897838677126
0.8865866801301292	0.6526826792705215
0.17272141533734361	0.18325961056989104
0.6986316560567247	0.42944524187206734
1.414970844710637	0.13481710388057105
0.01625662708301959	0.10254852809742347
1.2672898273742408	0.137610052751978
0.04581383794126766	0.05570491848199623
0.7653327439578922	0.6590123056287046
0.15455042380338457	0.09162777010710534
1.0435003837391836	0.654570350192871
0.07936175829845692	0.06093730858354836
0.2781300262182905	0.14528639476303
